"name","area_2_1_15_S17_noOTA","area_2_2_15_S17_noOTA","area_2_3_15_S17_noOTA","area_8_1_15_S17_OTA","area_8_2_15_S17_OTA","area_8_3_15_S17_OTA"
"group","cE_noOTA","cE_noOTA","cE_noOTA","cE_OTA","cE_OTA","cE_OTA"
"NP-015145","105042.384347251","60551.4515270341","87226.0637372916","66462.7792019748","95427.2247274304","86747.8910485649"
"p-dicyclohexylbenzene","372706.384192685","300689.218590363","378060.726778831","339697.273886817","415399.572413601","363302.641311651"
"Palmitoleicacid","8880019.02293209","6867674.64464083","13014336.3493176","2953278.20825986","4511151.75956879","4259379.34512521"
"Pantothenicacid(VitaminB5)","974627.333700322","911175.550087273","1122470.22277554","2420458.32891245","2815708.90249416","2531477.59247385"
"Penipacid B","643601.81820765","366372.33933245","674488.712583397","350905.125637901","462271.356604431","593388.234316646"
"Phenolicsteroid","119065.281071862","137473.729597543","137399.002488584","642502.072272338","440925.465696126","346468.6121686"
"Phloionolic acid","1028450.90792134","766059.276965049","1180309.47078119","135185.178546635","174849.684310447","163367.744699628"
"Phomolide D","227056.91932591","325627.001027894","256145.998030073","300443.866890674","340785.160391678","369487.104422669"
"Photopyrone G","1038966.81285397","809046.319306301","1172234.96689431","1215881.96755106","1412550.08299601","872992.269529094"
"Phytosphingosine","1294011.34989976","812847.527854814","1770137.45942589","1737385.15900288","1248497.6718806","1251719.74500637"
"Piperidine","16004346.2550947","10888547.2881742","14574760.0261987","5779865.84755145","5989266.46652094","9757037.98927682"
"Prolylleucine","1383672.80712853","869322.852299489","1003423.64175098","1247230.4540967","1097320.60417127","1395274.90303492"
"Propionylcarnitine","8866746.77237264","6665611.54923427","7581395.45561826","16006691.8106577","16806882.8616113","17905049.1602095"
"Pseudopyronine A","1722254.92593772","1299820.8269615","2073091.93743738","3516720.36808239","3462433.05840231","2610969.70815368"
"Pseudouridine","199718.800784434","197976.562063369","254558.391663583","335467.941682696","523594.300914608","905160.530759858"
"sn-glycero-3-Phosphocholine","6379401.78699361","3465477.72612909","6139435.42173138","1730227.73121378","2014743.9670747","2302169.39599001"
"SN3570000","11116825.5076395","8118614.47387598","14561340.6631937","5481095.11448063","7463674.79423917","6789402.20801822"
"Tanikolide","102816.705907555","75892.8457999402","168352.035637269","2032789.32218649","2759865.19168035","2612793.3570202"
"Tanzawaic acid B","6429849.09263969","7202111.86257002","6451139.61592263","12361344.6280628","8922672.10422468","7068675.61512123"
"Tetrahydrothiophene","1375641.88576459","1117315.67881658","1180828.60605218","1122902.41851374","1190806.5257825","1307625.86822177"
"Tolycaine","1370626.91125933","957333.829779838","883785.065536241","499806.379647251","632638.648579645","889917.303074931"
"Uracil;2_4-Dihydroxypyrimidine","2566822.97239319","2317688.05574593","2540488.13065801","2885304.95689968","3965655.02379814","6012601.10596114"
"WY2635000","55034.1477462067","42185.8279479459","54008.6444873835","133305.117978688","106322.318690728","112094.421301641"
"Xanthine","10637800.5964936","8501681.8556951","10811376.1217677","627658.799057082","939522.16455887","1481253.40654455"
"Xylarinic acid A","780033.312773406","498535.945387114","999837.685345044","444723.902549062","504403.537962662","481881.276320217"
