"name","area_2_1_15_S25_noOTA","area_2_2_15_S25_noOTA","area_2_3_15_S25_noOTA","area_2_1_15_S17_noOTA","area_2_2_15_S17_noOTA","area_2_3_15_S17_noOTA"
"group","cA_S25","cA_S25","cA_S25","cA_S17","cA_S17","cA_S17"
"D-Pipecolicacid","9258864.5189991","15953132.4651768","9023376.47355639","16605066.7730038","10167745.987567","13743952.0572032"
"D-Proline","79429463.9634145","116931512.115171","69948565.1833629","60235520.1119712","43371536.1657695","71760825.830839"
"D-Tryptophan","536961.237265652","645450.553163283","276061.33680832","431446.704561063","261255.597856704","320459.530076655"
"Decamethylcyclopentasiloxane","5746421.89175684","8722936.46228379","9455522.61389033","9257498.43743469","9054344.50932152","8864742.35633149"
"Ethanolamine","863958.362483384","1249426.50419277","852879.506892529","739862.856957512","592090.112491378","804726.734195866"
"ETHYL LAUROYL ARGINATE","3504932.80146622","3739718.80677003","3662932.65054416","3580481.5660115","3472255.30675113","3322066.80526308"
"Ethyl N-Boc-DL-nipecotate","327078.877153791","463361.852562502","343614.370178988","559720.599593708","409873.578117602","500998.324465543"
"Ethyl3-oxohexanoate","873700.647281184","1413503.18107093","1919322.38181523","659417.609956258","649297.889414075","724307.778828299"
"forchlorfenuron","446392.302926327","452114.395670087","467694.226597106","438510.790523934","412823.823593341","452758.806990286"
"Geranylacetate","132673.277108137","149408.96588107","140115.047367328","671997.10163653","523509.730902355","838140.850208918"
"GLYCERYL RICINOLEATE","218550.229608208","268967.480182974","330833.821078587","682232.897857099","510801.102680069","886063.289350115"
"Guanosine","3261205.42613564","4484769.9732346","3186407.54938381","1924059.77626212","1397168.4631183","1910456.23281586"
"Hexadeca-5,9-dienoic acid","1585557.41536965","1900918.46888371","1552193.18067092","3012199.72262351","2478663.0731417","3777816.09925543"
"Hypoxanthine","67352197.1751421","96704751.6522464","75516638.5843328","43710702.3018058","36576029.6293503","47151051.6823379"
"Icaridin","463348.348018882","739247.773559923","249150.765270531","231287.587835912","343070.930519812","576045.804208023"
"ID6475000","2701701.95995671","5125120.47285815","3292542.57901413","2568593.2167305","2281216.33006775","2341616.3091302"
"Indene","11849098.9208027","10710906.8466288","10134367.9693801","27135861.7398101","26078438.1283354","24990411.0316333"
"Indole;1-Benzazole","2873296.41939202","3663916.76400227","3089706.89743412","1544624.08005402","1221873.78640805","1429811.26057655"
"Isoprene","1677780.32059748","1594862.32169106","2173256.89199279","643515.230663994","609076.796003678","1563637.63833768"
"Isoquinoline","321896.046804506","489151.660670026","335247.571582023","334518.359048569","289311.849354852","361471.027650351"
"L-Phenylalanine","8943661.24974627","13805857.4960352","5976848.56162889","884981.331888041","638293.487990636","717911.547289499"
"Laurophenone","1887996.07229678","2532583.82366112","1942882.85971396","3324683.52880871","2685771.20864036","3512985.09182447"
"Leptazoline B","6929377.06856264","6769173.38886322","6768570.21832445","7210823.01720903","6975808.98758616","6768815.05222676"
"Malyngolide","1548449.09983985","1866119.73480322","1678450.8837132","2939514.75798689","2104994.79282652","3947459.26660901"
"Maristachone B","8045269.56697484","12183566.4431307","7976474.4829899","9772521.73415927","6622571.45784822","8210455.90239947"
"mebutamate","3930901.62881855","6340802.64093741","3739038.40798567","2224420.22852874","1952402.43035382","2543349.22462584"
"melamine","38187394.7514957","40200652.8400058","40555668.0718725","38080712.4352488","37847263.9042366","36518146.177563"
"methallylamine","5069101.81239646","6606013.54639125","4280692.32195208","4201623.79345412","2642011.39649727","3829186.61070472"
