"name","area_11_1_856_S25_noOTA","area_11_2_856_S25_noOTA","area_11_3_856_S25_noOTA","area_11_1_15_S25_noOTA","area_11_2_15_S25_noOTA","area_11_3_15_S25_noOTA","area_11_1_92_S25_noOTA","area_11_2_92_S25_noOTA","area_11_3_92_S25_noOTA","area_11_1_856_J25_OTA","area_11_2_856_J25_OTA","area_11_3_856_J25_OTA","area_11_1_15_J25_OTA","area_11_2_15_J25_OTA","area_11_3_15_J25_OTA","area_11_1_92_J25_OTA","area_11_2_92_J25_OTA","area_11_3_92_J25_OTA"
"group","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA"
"Creatinine","210320841.59315","257894649.519755","319544773.034945","308672132.450309","390026651.307218","441208959.119292","658638852.399558","658417099.231767","680041121.74002","367649783.183763","318633277.172158","384596945.394428","424516830.307019","517362682.025027","451033282.195995","698806416.679932","641580929.911061","639987366.98159"
"Creolophin D","51005.5288537149","318982.267417265","389954.188678678","28046.0797416123","28816.4893451132","23300.7124133871","33208.266100824","26788.8744359053","37869.4401448182","477874.237881079","257227.097746202","280332.032316315","161252.501593305","166709.038227969","212680.60007481","282996.245855003","295100.80749364","394153.935340022"
"Curvulide B2","197517.534159309","185468.360376553","206852.599508756","237615.81086885","338447.934380697","305828.232517085","66402.0668186209","30909.6902715341","56644.4231226363","58739.0171296609","79915.0324910485","103461.562190012","158919.524386236","168944.974954861","142777.877665821","11635.8520233136","53685.5872682447","5371.66305924023"
"Cyclo(D)-Pro-(D)-Leu","155305.300214333","166887.372341788","197305.587544716","388241.740821067","163402.69059194","204331.004509098","181128.548493013","218952.54362502","501111.127823956","160411.745964647","360510.632799564","251666.27603065","543457.977909748","316148.346818833","591969.958213965","575931.518906135","1068877.23310194","442662.997441905"
"Cyclocarbamide B","3725.16369343843","22579.3515679271","48750.7599617497","119658.851577051","176703.280540502","217875.467416091","41287.2111456196","164220.030863997","170190.467820009","10012.5609733356","51113.3678324752","36877.0687438978","139971.952313234","42166.9555790255","263824.666286516","302677.858607831","436347.84138198","152615.163629657"
"Cyclohex-2-enylmethanol","2223672.82960249","2079874.69769232","2697392.97278597","2127516.80296457","2856315.03030667","2644036.8216768","2647693.28143608","2606810.84179154","2749001.0506537","1698779.18792926","1868883.67303585","2067244.3370795","2363039.67204169","1971881.20435765","2243955.6875102","2115767.35248685","2062840.87345047","2300826.27136928"
"CYCLOHEXYLPHENYLACETONITRILE","348567.049919963","341521.456798303","300531.690508355","291796.501044394","322283.597764117","307071.529952538","336843.483115424","331267.410208479","338460.608224064","309981.184228206","355746.520171208","295256.97601175","345745.573411755","341655.34158649","299429.262766322","362864.109547794","340038.063682312","376149.165505507"
"Cyclonerodiol","227069.323127896","202430.774680805","269526.84531346","211173.056680103","244845.583015175","313439.161285624","200332.056680968","173571.65019806","240264.826495516","90588.2611797414","30198.7584093969","60928.6440203439","161857.043602257","182702.644998711","189323.842220462","155729.130103152","157030.704802173","149004.452146011"
"Cyclooctene","7372419.77249875","7069136.96977827","9061289.84689956","4249556.80780921","7494201.32645837","7684179.08716141","7959672.840315","5480739.70419139","7955309.07737124","5364097.46655113","5143495.84377244","6464613.36376355","9771417.58072222","7788466.78835492","6574718.15126934","4230374.38918307","4091098.78643662","4355431.79455576"
"Cyclopentadienone","995710.265581561","1729935.62089591","1014650.97194074","572955.665478823","512904.015797378","526595.88659571","453148.332075617","456744.290197564","422617.175934511","2474932.81700427","1833040.53293497","1757813.35315371","971083.790091785","1477947.52884752","1535023.27206557","710391.061540295","576158.947040872","671236.18848907"
"Cyclopentenone","1437177.11541414","7033772.15602301","2433521.74395952","924728.353630741","1184179.51393708","1420996.64928416","919357.685031292","893121.330086279","806297.782025683","2229217.01191472","1663916.64284837","1581140.4743263","1035174.90219741","3433128.50130978","4110613.73602597","1775699.16852582","2010685.70289907","767760.342441885"
"Cylindrocarpyridone A","47899.4415297222","71674.921708452","78704.9323228646","149821.767122015","168582.131684053","173232.880389722","266633.706472632","190691.887093542","232914.489237841","31988.898879761","62229.7631155962","70313.7008994269","110313.748226168","98656.3182916232","128143.571500897","91144.3588309291","190939.516208206","92025.4552816574"
"Cytidine;1-beta-delta-Ribofuranosyl-Cytosine","1247262.0799005","1743490.92954373","2175837.18211089","1610265.03075209","1046359.94067307","1425713.1993578","906755.09763418","939392.421816309","1154639.49983902","2356105.88853837","2967292.69174412","1682338.28786482","1364853.38929897","1014218.04617835","1634478.56151525","1091947.148214","988863.511969833","1167759.46705654"
"Cytisine","34199.2990931166","18340.5375085434","13741.9816523862","293020.652341909","23639.3705469712","16252.0749720612","764355.832000778","1005373.03226862","4226365.21364465","6134.80690149522","1524344.76472044","93553.9112803158","1338589.96774112","3170558.36720272","2774987.37564341","15256778.9705797","10753286.9730065","7969730.73419361"
"Cytosine","2132193.95774235","2493151.49752452","3138268.97066","2336629.34893082","1492319.95656751","2136207.48032655","1334773.0442378","1358801.23899913","1779157.29482247","4049703.31581552","4342378.75903727","2644835.90242705","1960479.80933462","1453139.83088809","2374370.88603566","1592311.32079254","1511401.63115537","1667369.87070126"
"D-1-Aminopropan-2-olO-phosphate","127713.371346044","133819.987964928","119303.425591646","149364.205621873","113209.796412937","130107.54675333","102994.020609084","114156.351247173","102307.019534108","126183.294395374","104422.000204399","71974.4674531527","148723.12917625","162347.808112587","147429.317133824","112253.606666014","119607.620851953","103202.343290885"
"D-2-Amino-hexano-6-lactam","538435.373112987","596816.850421076","766648.404623047","526838.112755342","530860.206708074","1111275.61262558","191184.904430203","291892.278105284","530866.065014549","576503.742884174","414333.542641362","470685.207046729","480620.558152936","334606.743000189","471457.515303808","692364.845429672","454802.700355222","476050.401315945"
