"name","area_2_1_15_S25_noOTA","area_2_2_15_S25_noOTA","area_2_3_15_S25_noOTA","area_2_1_15_S17_noOTA","area_2_2_15_S17_noOTA","area_2_3_15_S17_noOTA"
"group","cA_S25","cA_S25","cA_S25","cA_S17","cA_S17","cA_S17"
"2-isopentylquinoline-4-one","184922.07480307","246714.103072619","233005.93567559","4798.92202729852","4798.92202729852","4798.92202729852"
"2-Isopropylnaphthalene","4798.92202729852","4798.92202729852","4798.92202729852","268569.201062862","180179.047357855","230917.521389282"
"2-Methyl-2-propanyl [(14-amino-3,6,9,12-tetraoxatetradec-1-yl)oxy]carbamate","1048998.31945368","1360662.63235494","923845.662764814","483876.335215433","634448.799895147","442355.192418394"
"2-Methyl-2-propanyl 1,4,10-trioxa-7,13-diazacyclopentadecane-7-carboxylate","4798.92202729852","4798.92202729852","4798.92202729852","832462.863003147","844742.867332994","1191873.77758094"
"2-Methyl-2-propanyl 4-[(4-{[3-(dimethylamino)-2,2-dimethylpropyl]carbamoyl}-1-piperidinyl)carbonyl]-1-piperidinecarboxylate","4798.92202729852","4798.92202729852","4798.92202729852","1397392.62080381","1230491.07879214","1242176.0754815"
"2-methyl-2,4-hexadiene","533719.405924797","745471.231018975","617766.659641838","1016742.49338549","649339.201625061","1324994.42667455"
"2-methyl-2,5,6-bornantriol","208568.028657517","165147.268303934","185992.105529123","4798.92202729852","4798.92202729852","4798.92202729852"
"2-Methylserine","1065824.18541334","906602.637341162","846330.036474585","1037881.41107811","692273.354690098","887611.630550059"
"2-Oxo-3-piperidinecarbohydrazide","4798.92202729852","4798.92202729852","4798.92202729852","993139.573963169","1291169.98792717","1836896.56076998"
"2-Oxo-delta3-4_5_5-trimethylcyclopentenylacetate","445746.549352202","830710.058644629","453080.834239849","351354.715334833","288382.387701073","236546.75168266"
"2-Oxooctadecanoicacid","1218641.88860087","3648111.579966","1407253.08920256","2187487.8092971","1564042.28116046","2920506.29290753"
"2(alpha-D-Mannosyl)-D-glycerate","4798.92202729852","4798.92202729852","4798.92202729852","242285.353040154","183914.660209013","246154.898146722"
"2,10-dimethyl 4-hydroxy-6-oxo-4-undecen-7-yne","923071.987376216","1163218.68447635","150023.615155505","445254.516669946","296630.809114737","443717.164110633"
"2,2-Dinitro-1-propanol","533711.700765074","394926.63907277","207024.855467959","4798.92202729852","4798.92202729852","4798.92202729852"
"2,3-Dibromothianaphthene","346045.33929922","632598.936678551","229429.253503096","210240.330068143","138604.978508878","231553.949436727"
"2,3-Dinor-11β-prostaglandin F2α","1168049.208069","1483621.80647936","965736.153530939","973486.578723572","1414426.94642265","1016256.57590257"
"2,4,6-Trimethyl-1,3,5-benzenetriamine","4798.92202729852","4798.92202729852","4798.92202729852","1151144.54831547","857063.508355388","1113492.9893716"
"2,6-di-tert-butyl-4-ethylphenol","518358.171003167","604856.284194418","447994.753445197","762896.674606844","659923.157059521","922782.583811637"
"2_5-Dioxopiperazine","3254736.27139151","2503883.28334496","3417393.74402966","4798.92202729852","4798.92202729852","4798.92202729852"
"3-(1-Boc-4-piperidyl)-1-propanol","7080465.64874107","10314585.6651189","1971827.85919078","3116410.72838766","4333696.90980239","6207261.29090123"
"3-(1H-Tetrazol-1-yl)benzohydrazide","1507360.94802616","1492702.95463016","1737064.17288218","1474471.60970889","1659450.49768929","1410455.34919822"
"3-(2-CHLOROETHYL)-2,4(1H,3H)-QUINAZOLINEDIONE","322175.894079795","372900.889686988","390738.866583479","1028797.0030422","1006521.04499163","977706.267436685"
"3-(2’-acetoxy-3’- oxo-4’-methylpentyl)-indole","145648.456414221","188533.500966926","194178.545438162","4798.92202729852","4798.92202729852","4798.92202729852"
"3-(3_4-Dihydroxypyridin-1-yl)-L-alanine","726346.899557548","1167265.91500017","744167.329015017","4798.92202729852","4798.92202729852","4798.92202729852"
"3-Amino-3-(4-hydroxyphenyl)propanoate","961975.268795178","36914.4746038074","23994.6101364926","4798.92202729852","4798.92202729852","4798.92202729852"
"3-amino-4,5,6-trihydroxy-2-methoxy-5-methyl-2-cyclohexen-1-one","19029668.6254458","12619565.8318169","17637964.081255","4826385.04706024","7124667.16757543","9059620.32176016"
"3-Amino-N-(3,4-dimethoxybenzyl)-6-methyl-4-(trifluoromethyl)-5,6,7,8-tetrahydrothieno[2,3-b]quinoline-2-carboxamide","926543.983283363","850722.940772262","919333.573443728","4798.92202729852","4798.92202729852","4798.92202729852"
"3-Dehydrocarnitine","4798.92202729852","4798.92202729852","4798.92202729852","423813.188318226","494119.05338265","616611.487141329"
"3-Dehydroxycarnitine","8313172.67838223","15906785.6040217","8307814.84130674","6430383.88968337","5164922.76800369","6747275.19405742"
"3-deoxyaureosurfactin","4798.92202729852","4798.92202729852","4798.92202729852","256902.671738714","203137.735563939","308997.034287548"
"3-Ethyl-1-heptyne","4798.92202729852","4798.92202729852","4798.92202729852","231150.11707199","270003.456289199","540069.097000998"
"3-Ethyl-o-xylene","206740.933897091","293886.872436908","226487.383104878","4798.92202729852","4798.92202729852","4798.92202729852"
"3-hydroxy-1H-quinolin-4-one","645512.849447604","979859.736711693","580902.139089045","4798.92202729852","4798.92202729852","4798.92202729852"
"3-hydroxy-2-methyl-1H-quinolin-4-one","1152880.70267753","1660912.0962841","1146365.07024152","1146825.10367014","980038.708091068","1244666.57535805"
"3-hydroxy-2-N-iso-butyryl-anthranilamide","4798.92202729852","4798.92202729852","4798.92202729852","1469979.92168654","1105154.38911518","987259.385683914"
"3-Hydroxyaminophenol","890571.483520476","1219881.86340357","1048749.55911915","1369963.82761817","1273387.76812306","1437383.13137172"
"3-Methoxytyramine","139768.169991843","275644.040585763","158024.795866763","191611.594659106","210013.191646635","183357.815787384"
"3-Methyl-1-(2_4_6-trihydroxyphenyl)butan-1-one","95832.2993020669","160747.837503886","104331.8559054","4798.92202729852","4798.92202729852","4798.92202729852"
"3-Methylbutyl 3,4-dinitro-1H-pyrazole-5-carboxylate","619664.704783392","835077.962839846","792382.902311368","4798.92202729852","4798.92202729852","4798.92202729852"
"3,11-dihydroxy-6,8-dimethyldodecanoic acid","4798.92202729852","4798.92202729852","4798.92202729852","205199.007288398","166837.780647102","284364.46080611"
"3,5-BIS(TRIFLUOROMETHYL)-1-PHENYLPYRAZOLE","2226438.45751828","2075630.33211184","2071382.67358576","2312714.47321984","2142167.79719719","2175848.65318622"
"3,5-Difluoro-4-(tributylstannyl)pyridine","589962.03913112","589430.908157929","599471.530355412","541905.337078141","548293.930718616","552835.88216855"
"3_4-Dihydroxy-L-phenylalanine(L-Dopa)","1049826.69633159","883126.301098642","837387.917315778","4798.92202729852","4798.92202729852","4798.92202729852"
"4'-ethyl-1,1'-bi(cyclohexyl)-4-one","379884.217265362","477499.75419153","394561.392557304","526839.031259315","448107.130714184","593153.804643771"
"4-(1-piperazinylcarbonyl)morpholine","80805.8329311082","214864.414538174","126340.973191109","4798.92202729852","4798.92202729852","4798.92202729852"
"4-(4-Aminobenzyl)-N-ethylaniline","4798.92202729852","4798.92202729852","4798.92202729852","344591.138763402","354928.29986776","413177.280346834"
"4-(4-fluorophenyl)-2-(4-hydroxyphenyl)-5-(4-pyridyl)imidazole","3253711.28039674","3181654.31111092","3340389.3095481","3158373.245088","3075748.56020397","3040476.7825676"
"4-{[1,3-Dihydroxy-2-(hydroxymethyl)-2-propanyl]amino}-1-butanesulfonic acid","318103.275951649","333779.190603956","327565.649290018","318661.419618426","340679.265530681","302679.432611636"
"4-Amino-2-[bis(2-methoxyethyl)amino]butanoic acid","2904878.42229131","6586444.55019339","2659502.44005143","3317611.60623618","2710588.50023425","2940643.5399724"
"4-Amino-5-hydroxymethyl-2-methylpyrimidine","4798.92202729852","4798.92202729852","4798.92202729852","901556.657640013","1202224.63264418","1592975.31964446"
"4-Cyanotetrafluoropyridine","1660004.11386469","1330391.19131487","666824.432353568","345021.458780321","4310864.40797402","1952918.30506831"
"4-epi-8α-hydroxy-15-epi-brefeldin C","238989.287152576","208584.51496458","256136.413842095","4798.92202729852","4798.92202729852","4798.92202729852"
"4-Guanidinobutanoate","4798.92202729852","4798.92202729852","4798.92202729852","437400.625571233","249507.075170252","343131.219405404"
"4-Heptyloxyaniline","1317924.37059269","1756898.35202594","214739.746277775","485251.795252828","330209.721451898","494461.326551502"
