"name","area_11_1_856_S25_noOTA","area_11_2_856_S25_noOTA","area_11_3_856_S25_noOTA","area_11_1_15_S25_noOTA","area_11_2_15_S25_noOTA","area_11_3_15_S25_noOTA","area_11_1_92_S25_noOTA","area_11_2_92_S25_noOTA","area_11_3_92_S25_noOTA","area_11_1_856_J25_OTA","area_11_2_856_J25_OTA","area_11_3_856_J25_OTA","area_11_1_15_J25_OTA","area_11_2_15_J25_OTA","area_11_3_15_J25_OTA","area_11_1_92_J25_OTA","area_11_2_92_J25_OTA","area_11_3_92_J25_OTA"
"group","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_noOTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA","cD_OTA"
"(ethylenedinitrilo)tetraacetonitrile","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","111310.084925567","102310.024478635","105035.786595062","114210.958438895","111618.835856559","104762.155172847","108108.569286641","115659.338154178","106404.570203678"
"(Isocyanatoethynyl)benzene","54223.1709413493","25450.8993691465","27495.9226348048","396823.455159335","161015.042433557","186973.995569995","368321.300723412","483623.208111586","888305.037388863","48921.059858217","125669.292186205","76266.8437663494","145753.704946892","255349.606021496","201511.358864957","777508.070965585","267477.612588203","721053.054446149"
"(R)-2-Hydroxyglutarate","64659986.4016035","61984913.4076663","65304210.9229251","65804539.7854876","66954605.7832403","64507187.7195418","66862122.1940524","66558731.3467532","67307452.4864589","69817175.2554044","62896106.4505543","64291551.973753","64819126.0853657","66720570.0367617","65525716.4839796","64730900.5565831","65345507.0462708","65247758.4038243"
"(R)-2_3-Dihydroxy-3-methylbutanoate","19501670.110495","14552482.3448531","20128706.2287173","5239682.19469132","6645924.98629705","8073779.70207444","7749610.08569658","6292838.71039487","9094647.60338253","50052206.1887635","35855314.4047304","44703290.921052","21495923.9420641","26632593.2711549","22579847.0203698","11253382.2236057","17102441.3351815","12306351.9664477"
"(R)-2_3-Dihydroxy-3-methylpentanoate","701110.560493353","574340.640164442","355932.557456548","587666.903204362","693626.513953792","980681.755056603","668304.212267819","818744.49635135","885418.205413921","539958.292582743","397786.94895773","669991.121942877","816362.411272029","485481.310788826","1519503.56696547","506739.299743576","1459886.93699241","339585.324405634"
"(R)-3-Amino-2-methylpropanoate","393982.842757338","339386.039109168","376264.781974678","359340.601913025","251072.745671152","391854.908972685","474058.57265305","562384.793787943","725979.355041618","813016.002932498","297634.99333162","358042.867135376","1741432.7377535","648132.450807129","973503.333997783","1360631.6733192","2692062.67143952","2556795.980766"
"(R)-4-Dehydropantoate","14923403.8438882","27023425.299912","15518452.6514574","23008909.4317507","19759686.8333863","26743569.1862876","10111221.4077255","10575752.4751814","12366420.8780854","13475508.7998113","12062504.3182367","18421968.3886485","27537011.5520069","29919905.3101209","61226150.7552834","8745147.123795","36880057.1826497","5550928.60495012"
"(R)-Acetoin","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","1515261.39493596","2033264.19865716","282684.65935072","113360.169208742","1877415.87998211","182317.204477419","1513119.97408131","286257.257341711","1617345.70973508"
"(R)-Coclaurine","30110261.2376336","20679951.4895995","28697394.1770833","8253837.39477901","10876301.1852464","10338006.7920443","13802216.261053","10037244.5902587","14758987.325551","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678"
"(R)-Lactaldehyde","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","372.509366963678","247463533.589979","267593164.06505","295424357.349862","266117986.233764","251701415.501592","275988595.665699","268383150.285884","312102999.292866","261262168.958507"
"(R)-Malate","64478.072697372","62930.575051279","82163.7756329851","255711.119473451","316599.503054465","289689.046001184","234005.597687668","374011.283209418","265773.659136125","458995.90419869","182524.983189016","217718.027773961","906715.021171027","418996.435985078","851515.363035041","351794.585465587","1223349.34898477","187525.748964314"
