"name","area_8_1_15_S25_noOTA","area_8_2_15_S25_noOTA","area_8_3_15_S25_noOTA","area_8_1_15_S17_OTA","area_8_2_15_S17_OTA","area_8_3_15_S17_OTA"
"group","cB_noOTA_S25","cB_noOTA_S25","cB_noOTA_S25","cB_OTA_S17","cB_OTA_S17","cB_OTA_S17"
"2-Oxovalericacid","334570.930670009","363881.213960087","322358.387351342","12910004.9881399","19090426.8615913","18158546.0042265"
"2-Phenylpropan-2-ol","3685287.31031875","4272942.19069798","2414749.56441455","7751825.75327524","6059255.89716519","5628398.76950607"
"2-Pyrazinyl[3-(2H-1,2,3-triazol-2-yl)-1-pyrrolidinyl]methanone","299134.8635344","283565.720415526","288423.275463574","3138.1447156551","3138.1447156551","3138.1447156551"
"2-tert-Butoxycarbonylamino-6-formylamino-hexanoic acid","1624095.82573819","3262477.57478089","2860288.08050558","722462.784061166","1416959.12015386","1691226.02445281"
"2(alpha-D-Mannosyl)-D-glycerate","3138.1447156551","3138.1447156551","3138.1447156551","524556.741131201","609528.522881098","632852.050762931"
"2,10-dimethyl 4-hydroxy-6-oxo-4-undecen-7-yne","3138.1447156551","3138.1447156551","3138.1447156551","256520.608567673","429328.32927751","187604.994208646"
"2,2-Dinitro-1-propanol","223369.63237622","307713.276669344","821593.350541266","649272.38564623","600628.798654573","3477769.31252864"
"2,2,3,3,3-Pentafluoro-1,1-propanediol","3138.1447156551","3138.1447156551","3138.1447156551","541958.711125183","379566.534072838","2010029.69577858"
"2,3-Dibromothianaphthene","332269.55365008","652603.517840398","337739.758508376","573888.039779833","510449.278841744","474088.016730263"
"2,3-dihydropyrenophorolic acid","559861.886254841","989197.159325053","1030047.14856493","3138.1447156551","3138.1447156551","3138.1447156551"
"2,3-Dinor-11β-prostaglandin F2α","1001129.7747934","1188069.48449553","483334.32225207","1518024.36361727","1010738.02987184","840766.88285499"
"2,3,5-Trimethylfuran","3138.1447156551","3138.1447156551","3138.1447156551","511813.849681148","399388.040646281","470104.711370618"
